bootstrap,resample,delta_f1,delta_fpr
event,"[(2867, 2807, 2927), (5784, 5724, 5844), (5597, 5537, 5657), (1860, 1800, 1920), (590, 530, 650), (5597, 5537, 5657), (2147, 2087, 2207), (1860, 1800, 1920), (376, 316, 436), (2867, 2807, 2927), (590, 530, 650), (2867, 2807, 2927), (5031, 4971, 5091)]",-0.14697565244664326,-0.036461446503287503
event,"[(1860, 1800, 1920), (2550, 2490, 2610), (4724, 4664, 4784), (3884, 3824, 3944), (2550, 2490, 2610), (2867, 2807, 2927), (3884, 3824, 3944), (4724, 4664, 4784), (5784, 5724, 5844), (2867, 2807, 2927), (2550, 2490, 2610), (4501, 4441, 4561), (5597, 5537, 5657)]",-0.0994103234705423,-0.0480175333731819
event,"[(590, 530, 650), (5031, 4971, 5091), (2147, 2087, 2207), (3884, 3824, 3944), (5031, 4971, 5091), (2867, 2807, 2927), (2867, 2807, 2927), (376, 316, 436), (5784, 5724, 5844), (5031, 4971, 5091), (2550, 2490, 2610), (2550, 2490, 2610), (4501, 4441, 4561)]",-0.08020764511562056,-0.04552878726010617
event,"[(2867, 2807, 2927), (3884, 3824, 3944), (5031, 4971, 5091), (2147, 2087, 2207), (5784, 5724, 5844), (5031, 4971, 5091), (4501, 4441, 4561), (3884, 3824, 3944), (2550, 2490, 2610), (1860, 1800, 1920), (590, 530, 650), (2550, 2490, 2610), (5031, 4971, 5091)]",-0.08365266635205287,-0.045732952225398124
event,"[(2550, 2490, 2610), (376, 316, 436), (4501, 4441, 4561), (5031, 4971, 5091), (590, 530, 650), (376, 316, 436), (5784, 5724, 5844), (4724, 4664, 4784), (4501, 4441, 4561), (5784, 5724, 5844), (5031, 4971, 5091), (590, 530, 650), (5031, 4971, 5091)]",0.035636266567881325,-0.060700389105058365
event,"[(5784, 5724, 5844), (590, 530, 650), (4724, 4664, 4784), (4501, 4441, 4561), (3884, 3824, 3944), (2867, 2807, 2927), (22, 0, 82), (2867, 2807, 2927), (376, 316, 436), (2550, 2490, 2610), (22, 0, 82), (5597, 5537, 5657), (2867, 2807, 2927)]",-0.10829271628341644,-0.04382139148494289
event,"[(376, 316, 436), (5031, 4971, 5091), (4724, 4664, 4784), (2867, 2807, 2927), (376, 316, 436), (2550, 2490, 2610), (22, 0, 82), (2550, 2490, 2610), (4724, 4664, 4784), (2550, 2490, 2610), (376, 316, 436), (2147, 2087, 2207), (5784, 5724, 5844)]",-0.0852020154777346,-0.0450860193790785
event,"[(22, 0, 82), (4724, 4664, 4784), (3884, 3824, 3944), (4724, 4664, 4784), (5784, 5724, 5844), (2147, 2087, 2207), (5597, 5537, 5657), (4724, 4664, 4784), (5784, 5724, 5844), (2550, 2490, 2610), (2867, 2807, 2927), (376, 316, 436), (4501, 4441, 4561)]",-0.13765349319292433,-0.039044652128764276
event,"[(1860, 1800, 1920), (376, 316, 436), (4724, 4664, 4784), (2147, 2087, 2207), (5784, 5724, 5844), (22, 0, 82), (2550, 2490, 2610), (22, 0, 82), (2867, 2807, 2927), (22, 0, 82), (5031, 4971, 5091), (5784, 5724, 5844), (1860, 1800, 1920)]",-0.08346407154632113,-0.046191247974068074
event,"[(4501, 4441, 4561), (22, 0, 82), (4501, 4441, 4561), (5597, 5537, 5657), (4724, 4664, 4784), (5597, 5537, 5657), (3884, 3824, 3944), (4501, 4441, 4561), (1860, 1800, 1920), (5597, 5537, 5657), (2867, 2807, 2927), (2550, 2490, 2610), (3884, 3824, 3944)]",-0.11451426378878594,-0.04528376507810955
event,"[(376, 316, 436), (2147, 2087, 2207), (1860, 1800, 1920), (5031, 4971, 5091), (2550, 2490, 2610), (2147, 2087, 2207), (3884, 3824, 3944), (376, 316, 436), (4724, 4664, 4784), (4724, 4664, 4784), (2867, 2807, 2927), (2147, 2087, 2207), (5597, 5537, 5657)]",-0.11528079282680509,-0.04083299305839118
event,"[(22, 0, 82), (5597, 5537, 5657), (5784, 5724, 5844), (5597, 5537, 5657), (1860, 1800, 1920), (5784, 5724, 5844), (2867, 2807, 2927), (2867, 2807, 2927), (4501, 4441, 4561), (2147, 2087, 2207), (2147, 2087, 2207), (590, 530, 650), (2550, 2490, 2610)]",-0.16761302550788815,-0.034846029173419765
event,"[(2550, 2490, 2610), (5031, 4971, 5091), (5031, 4971, 5091), (22, 0, 82), (4724, 4664, 4784), (4501, 4441, 4561), (5784, 5724, 5844), (4724, 4664, 4784), (22, 0, 82), (5597, 5537, 5657), (2147, 2087, 2207), (2867, 2807, 2927), (4724, 4664, 4784)]",-0.13738661612340625,-0.03829011345218801
