method,precision,recall,f1,fpr,tp,fp,fn,tn,event_coverage,event_delay,event_alignment_error
volatility_percentile,0.6395563770794824,0.2254071661237785,0.33333333333333337,0.04380053908355795,346,195,1189,4257,0.7692307692307693,-1.2,3.6
cusum,0.30835214446952597,0.4449511400651466,0.3642666666666666,0.344115004492363,683,1532,852,2920,0.46153846153846156,-60.0,0.16666666666666666
instability_score,0.43288590604026844,0.16807817589576549,0.24213984045049272,0.07592093441150045,258,338,1277,4114,0.9230769230769231,-25.166666666666668,20.333333333333332
mmd_only_confirmation,0.4110929853181077,0.16416938110749185,0.23463687150837986,0.08108715184186882,252,361,1283,4091,0.8461538461538461,-16.181818181818183,16.818181818181817
kappa_only_confirmation,0.29238754325259514,0.11009771986970684,0.15996213913866542,0.09186882300089848,169,409,1366,4043,0.7692307692307693,-26.2,20.5
hybrid_windowed_confirmation,0.8862559241706162,0.12182410423452769,0.21420389461626577,0.005390835579514825,187,24,1348,4428,0.6153846153846154,6.75,8.25
