method,precision,recall,f1,fpr
cusum,0.08532480463183459,0.2186256382555234,0.11191619367504986,0.34244844089695275
hybrid_windowed_confirmation,0.20534769199695702,0.15819145606843588,0.14075700623276055,0.10472999920734394
instability_score,0.16972577625533922,0.17243985321008423,0.15258349331412854,0.13092122384884874
volatility_percentile,0.1863946100623825,0.16849401537326353,0.14032983650623598,0.14121609605396307
