file,subset,method,precision,recall,f1,fpr,tp,fp,fn,tn
artificialWithAnomaly/art_increase_spike_density.csv,artificialWithAnomaly,hybrid_windowed_confirmation,0.0,0.0,0.0,0.09917355371900827,0,120,0,1090
artificialWithAnomaly/art_increase_spike_density.csv,artificialWithAnomaly,volatility_percentile,0.0,0.0,0.0,0.09917355371900827,0,120,0,1090
artificialWithAnomaly/art_increase_spike_density.csv,artificialWithAnomaly,cusum,0.0,0.0,0.0,1.0,0,1210,0,0
artificialWithAnomaly/art_load_balancer_spikes.csv,artificialWithAnomaly,instability_score,0.5779816513761468,0.8,0.6711051930758988,0.20558659217877095,252,184,63,711
artificialWithAnomaly/art_load_balancer_spikes.csv,artificialWithAnomaly,hybrid_windowed_confirmation,0.6899441340782123,0.7841269841269841,0.7340267459138188,0.12402234636871508,247,111,68,784
artificialWithAnomaly/art_load_balancer_spikes.csv,artificialWithAnomaly,volatility_percentile,0.6621983914209115,0.7841269841269841,0.7180232558139534,0.14078212290502792,247,126,68,769
artificialWithAnomaly/art_load_balancer_spikes.csv,artificialWithAnomaly,cusum,0.14024975984630164,0.4634920634920635,0.21533923303834812,1.0,146,895,169,0
realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,realAWSCloudwatch,instability_score,0.41975308641975306,0.2537313432835821,0.3162790697674419,0.1745049504950495,102,141,300,667
realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,realAWSCloudwatch,hybrid_windowed_confirmation,0.5058823529411764,0.21393034825870647,0.3006993006993007,0.10396039603960396,86,84,316,724
realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,realAWSCloudwatch,volatility_percentile,0.4926829268292683,0.2512437810945274,0.3327841845140033,0.12871287128712872,101,104,301,704
realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,realAWSCloudwatch,cusum,0.622680412371134,0.7512437810945274,0.6809470124013529,0.2264851485148515,302,183,100,625
realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,realAWSCloudwatch,instability_score,0.0,0.0,0.0,0.03966942148760331,0,48,0,1162
realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,realAWSCloudwatch,hybrid_windowed_confirmation,0.0,0.0,0.0,0.047933884297520664,0,58,0,1152
realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,realAWSCloudwatch,volatility_percentile,0.0,0.0,0.0,0.06446280991735537,0,78,0,1132
realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,realAWSCloudwatch,cusum,0.0,0.0,0.0,0.0,0,0,0,1210
realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,realAWSCloudwatch,instability_score,0.1038961038961039,0.15920398009950248,0.12573673870333987,0.27353815659068387,32,276,169,733
realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,realAWSCloudwatch,hybrid_windowed_confirmation,1.0,0.0945273631840796,0.17272727272727273,0.0,19,0,182,1009
realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,realAWSCloudwatch,volatility_percentile,1.0,0.10945273631840796,0.19730941704035876,0.0,22,0,179,1009
realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,realAWSCloudwatch,cusum,0.05743879472693032,0.3034825870646766,0.09659540775930327,0.9920713577799801,61,1001,140,8
realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,realAWSCloudwatch,instability_score,0.0,0.0,0.0,0.0603305785123967,0,73,0,1137
realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,realAWSCloudwatch,hybrid_windowed_confirmation,0.0,0.0,0.0,0.07272727272727272,0,88,0,1122
