bootstrap,metric,estimate,ci_low,ci_high
block,delta_f1,-0.11974476919994913,-0.2025416990275753,-0.047499870886322744
block,delta_fpr,-0.038656811460703176,-0.06201461487371466,-0.019018544934460715
event,delta_f1,-0.09053114968597194,-0.16624126974014283,0.004814815032703989
event,delta_fpr,-0.04543777302756249,-0.05793742757821553,-0.03464343598055106
