severity,method,precision,recall,f1,fpr,tp,fp,fn,tn
critical,volatility_percentile,0.43622920517560076,0.39008264462809916,0.41186736474694596,0.05667038275733928,236,305,369,5077
critical,hybrid_windowed_confirmation,0.6113744075829384,0.21322314049586777,0.3161764705882353,0.015235971757710888,129,82,476,5300
high,volatility_percentile,0.17744916820702403,0.21524663677130046,0.1945288753799392,0.08031041328280093,96,445,350,5096
high,hybrid_windowed_confirmation,0.20853080568720378,0.09865470852017937,0.1339421613394216,0.030138964085905072,44,167,402,5374
medium,volatility_percentile,0.025878003696857672,0.028925619834710745,0.027317073170731707,0.09576594584771943,14,527,470,4976
medium,hybrid_windowed_confirmation,0.06635071090047394,0.028925619834710745,0.040287769784172665,0.03579865527893876,14,197,470,5306
