window,precision,recall,f1,fpr,tp,fp,fn,tn
0,0.9272727272727272,0.06644951140065146,0.12401215805471123,0.0017969451931716084,102,8,1433,4444
5,0.9216867469879518,0.0996742671009772,0.17989417989417986,0.0029200359389038636,153,13,1382,4439
10,0.8862559241706162,0.12182410423452769,0.21420389461626577,0.005390835579514825,187,24,1348,4428
20,0.841897233201581,0.13876221498371336,0.238255033557047,0.008984725965858042,213,40,1322,4412
30,0.7777777777777778,0.1504885993485342,0.2521834061135371,0.014824797843665768,231,66,1304,4386
45,0.7250673854447439,0.1752442996742671,0.28226652675760755,0.022911051212938006,269,102,1266,4350
60,0.6737588652482269,0.18566775244299674,0.29111338100102147,0.03099730458221024,285,138,1250,4314
