event_window,half_window,method,precision,recall,f1,fpr,tp,fp,fn,tn
+/-20,20,Volatility percentile,0.3900184842883549,0.39587242026266417,0.39292364990689016,0.06050605060506051,211,330,322,5124
+/-20,20,Hybrid W=10,0.5450236966824644,0.21575984990619138,0.30913978494623656,0.0176017601760176,115,96,418,5358
+/-30,30,Volatility percentile,0.49907578558225507,0.34394904458598724,0.40723981900452483,0.05209534794309881,270,271,515,4931
+/-30,30,Hybrid W=10,0.6919431279620853,0.1859872611464968,0.2931726907630522,0.012495194156093811,146,65,639,5137
+/-45,45,Volatility percentile,0.5711645101663586,0.2663793103448276,0.36331569664902996,0.04806297907603066,309,232,851,4595
+/-45,45,Hybrid W=10,0.8151658767772512,0.1482758620689655,0.2509117432530999,0.008079552517091361,172,39,988,4788
+/-60,60,Volatility percentile,0.6395563770794824,0.2254071661237785,0.33333333333333337,0.04380053908355795,346,195,1189,4257
+/-60,60,Hybrid W=10,0.8862559241706162,0.12182410423452769,0.21420389461626577,0.005390835579514825,187,24,1348,4428
