variant,precision,recall,f1,fpr,tp,fp,fn,tn
default no-CIS,0.8862559241706162,0.12182410423452769,0.21420389461626577,0.005390835579514825,187,24,1348,4428
equal with CIS,0.8913043478260869,0.10684039087947883,0.19080860965677718,0.004492362982929021,164,20,1371,4432
MMD only,0.7926829268292683,0.1270358306188925,0.21897810218978103,0.011455525606469003,195,51,1340,4401
|kappa| only,1.0,0.09381107491856677,0.17153067301965455,0.0,144,0,1391,4452
CIS only,0.8011049723756906,0.09446254071661238,0.168997668997669,0.008086253369272238,145,36,1390,4416
