date,price,log_return,rolling_volatility,return_zscore,signal,MMD,kappa,CIS
2000-03-15,87.83374786376953,0.02306260396200077,0.015217617602261344,1.376095797639222,0.2913157467895232,0.0,0.0,0.0
2000-03-16,91.9368667602539,0.0456563118042812,0.017970382448367284,2.53968555371587,0.5361563813798248,0.0,0.0,0.0
2000-03-17,92.54448699951172,0.006587358820750566,0.017895516150853275,0.315863344049576,0.07183500306554647,0.0,0.4770597027968385,0.0
2000-03-20,92.0721206665039,-0.005117279206706016,0.017046750635207265,-0.36367329815897814,-0.07017927404458646,0.0,0.49756319939953875,0.0
2000-03-21,93.96163177490234,0.020314336105364816,0.017349072265934476,1.251509416719261,0.265663773076315,0.046357806846664205,0.5527878029332658,0.0
2000-03-22,94.53238677978516,0.0060559666944906,0.017281613996549008,0.3465129171715143,0.07751505098051287,0.11963825559398049,0.5770047470308928,0.0
2000-03-23,96.1462631225586,0.016928113167568704,0.016409437624266787,0.9928935944859347,0.21196560676825132,0.18248309556471262,0.5467456398383241,0.0
2000-03-24,96.71704864501952,0.005919085218559772,0.016230690286935398,0.28134048336369183,0.06409684636809887,0.21252701715091268,0.5601961965601898,0.0
2000-03-27,95.69357299804688,-0.010638553019518326,0.016367151629167062,-0.7348642375507597,-0.14738197853116097,0.2130926791222779,0.5823473386000704,0.0
2000-03-28,95.1424789428711,-0.005775591996322937,0.0165308007102013,-0.40502980908271985,-0.07893451760164505,0.19597083344430635,0.5775121118848073,0.0
2000-03-29,95.24089813232422,0.001033905372751498,0.01654180256477548,0.01624976135809196,0.008729445727426784,0.15328334613718164,0.5837089329689091,0.0
2000-03-30,93.64666748046876,-0.01688060835020977,0.0172101330805629,-1.0824423832562706,-0.21976574090219017,0.10619254985001632,0.5873468362303513,0.0
2000-03-31,94.70948028564452,0.011285260369641392,0.016954174694875333,0.6643617186672034,0.14360122632672398,0.07054056392157104,0.6754573835031086,0.0
2000-04-03,95.26055145263672,0.005801680482762528,0.01667668208262973,0.30618501741984483,0.06914084835013914,0.050290813534889255,0.6701081262571316,0.0
2000-04-04,94.55206298828124,-0.007465170391389719,0.015981200651449697,-0.5819172380103884,-0.11532167260233764,0.03840945635065215,0.6857706813274309,0.0
2000-04-05,93.96163177490234,-0.006264087548333741,0.01611785320520695,-0.480969327255385,-0.09449055326368179,0.038616443243350895,0.6749887259830032,0.0
2000-04-06,94.77835083007812,0.008654490072517618,0.015112743695675597,0.47920453944250757,0.10470197603346301,0.0336163515834366,0.6952345448031334,0.0
2000-04-07,95.378662109375,0.006313869410308648,0.014981129288542101,0.31153244568190785,0.06995776262809852,0.034034001603732746,0.6890385817186601,0.0
2000-04-10,95.00472259521484,-0.003928283926754261,0.014689502350361542,-0.42077167093894424,-0.08171162544605752,0.04476153781557072,0.7002113051130326,0.0
2000-04-11,94.72915649414062,-0.0029047663617909336,0.01413767904818061,-0.3181461353164709,-0.06084030652973547,0.05647689208819299,0.6956740732631432,0.0
2000-04-12,92.13117980957033,-0.027808406571160127,0.01523745546222806,-1.9670717494438583,-0.4027473165356833,0.05811480170814187,0.660159287728058,0.0063515022605667906
2000-04-13,90.851806640625,-0.013983748343375346,0.011764144756646375,-0.9857645524704342,-0.20061554123878061,0.047809177056426476,0.6288668029980349,0.02239105974318932
2000-04-14,85.65577697753906,-0.058893009463862,0.017415019473983415,-3.452961444163777,-0.7148142877224914,0.0325070348508402,0.47960559014713133,0.07319292976288046
2000-04-17,88.64747619628906,0.034330891658606255,0.019388186133010996,1.9747334929735216,0.41792860026391077,0.020606289054208544,0.8912605224270058,0.07319292976288046
2000-04-18,90.98960876464844,0.026077747785318017,0.019774645247626902,1.4393130937624081,0.30683388621942875,0.014822545442614299,0.8206134642197621,0.07319292976288046
2000-04-19,90.14327239990234,-0.00934499046696935,0.019760392855400755,-0.5177375496184372,-0.10229188730055189,0.016812768103140696,0.8500415661487736,0.07319292976288046
2000-04-20,90.57626342773438,0.004791865521081462,0.01931774145865906,0.24951837417163145,0.05809493003246474,0.015191820451135651,0.8545916224610457,0.07319292976288046
2000-04-24,89.59217834472656,-0.010924164740705677,0.019276283168101253,-0.6273462532110108,-0.1251484480621246,0.014601321297228539,0.8592832142230651,0.0761905755795403
2000-04-25,93.31207275390624,0.04068147571950309,0.021597700394886295,2.1484909477254313,0.45651823752330367,0.010493944744791817,0.8948150857983515,0.0761905755795403
2000-04-26,92.25907135009766,-0.01134888412565882,0.021694764833162725,-0.6736687390285622,-0.13389976041859303,0.01370399228968533,0.9390287468072013,0.0761905755795403
2000-04-27,91.9540023803711,-0.003312134610627737,0.021689405083952822,-0.22097632366634218,-0.039344510513396456,0.015014764239960213,0.9368270472878162,0.06983907331897352
2000-04-28,91.38323974609376,-0.006226388829634111,0.02142764026779642,-0.3917709985405756,-0.07503910204259326,0.0169165571786436,0.9353229212798612,0.05379951583635098
2000-05-01,92.62321472167967,0.01347772010636561,0.021500486301144296,0.667280173321052,0.1466450406077365,0.01350891966003894,0.9412953371532683,0.002997645816659854
2000-05-02,90.7730941772461,-0.02017688710857435,0.02184272113367699,-1.1782423636440655,-0.2391840999429972,0.010662007940061965,0.9601722792685171,0.002997645816659854
2000-05-03,88.64747619628906,-0.023695359250098136,0.022336234294567887,-1.323754427344019,-0.26989769480548254,0.00945169193118763,0.9287539987076892,0.002997645816659854
2000-05-04,89.31663513183594,0.0075201913930209585,0.022449873158183174,0.36235591889643487,0.0829662414232524,0.014886113170911782,0.942175869361245,0.002997645816659854
2000-05-05,90.39915466308594,0.012047162077370999,0.022551459430632376,0.577582491462095,0.1283055171602942,0.018726684943370042,1.013512930519509,0.002997645816659854
