ticker,event_id,event_name,severity_label,method,detected_event,first_detection_delay,closest_detection_delay,event_coverage,pre_event_detection,post_event_detection,n_alarm_days_in_window
SPY,E10,Q4 2018 selloff,high,Volatility percentile,True,4.0,4.0,0.12396694214876033,False,True,15
SPY,E10,Q4 2018 selloff,high,CUSUM,True,-60.0,0.0,1.0,True,True,121
SPY,E10,Q4 2018 selloff,high,Instability score,True,-50.0,3.0,0.14049586776859505,True,True,17
SPY,E10,Q4 2018 selloff,high,MMD-only confirmation,True,3.0,3.0,0.23140495867768596,False,True,28
SPY,E10,Q4 2018 selloff,high,Kappa-only confirmation,True,-50.0,-45.0,0.049586776859504134,True,False,6
SPY,E10,Q4 2018 selloff,high,Hybrid volatility + instability confirmation,True,4.0,4.0,0.12396694214876033,False,True,15
SPY,E11,COVID crash,critical,Volatility percentile,True,-8.0,0.0,0.4049586776859504,True,True,49
SPY,E11,COVID crash,critical,CUSUM,True,-60.0,0.0,1.0,True,True,121
SPY,E11,COVID crash,critical,Instability score,True,-35.0,2.0,0.38016528925619836,True,True,46
SPY,E11,COVID crash,critical,MMD-only confirmation,True,-33.0,2.0,0.36363636363636365,True,True,44
SPY,E11,COVID crash,critical,Kappa-only confirmation,True,-11.0,-8.0,0.1487603305785124,True,True,18
SPY,E11,COVID crash,critical,Hybrid volatility + instability confirmation,True,-8.0,0.0,0.4049586776859504,True,True,49
SPY,E12,Inflation selloff,high,Volatility percentile,True,-24.0,1.0,0.3305785123966942,True,True,40
SPY,E12,Inflation selloff,high,CUSUM,True,-60.0,0.0,1.0,True,True,121
SPY,E12,Inflation selloff,high,Instability score,True,48.0,48.0,0.01652892561983471,False,True,2
SPY,E12,Inflation selloff,high,MMD-only confirmation,True,46.0,46.0,0.049586776859504134,False,True,6
SPY,E12,Inflation selloff,high,Kappa-only confirmation,True,23.0,23.0,0.008264462809917356,False,True,1
SPY,E12,Inflation selloff,high,Hybrid volatility + instability confirmation,False,,,0.0,False,False,0
SPY,E13,Bank stress,medium,Volatility percentile,False,,,0.0,False,False,0
SPY,E13,Bank stress,medium,CUSUM,True,-60.0,0.0,1.0,True,True,121
SPY,E13,Bank stress,medium,Instability score,False,,,0.0,False,False,0
SPY,E13,Bank stress,medium,MMD-only confirmation,False,,,0.0,False,False,0
SPY,E13,Bank stress,medium,Kappa-only confirmation,False,,,0.0,False,False,0
SPY,E13,Bank stress,medium,Hybrid volatility + instability confirmation,False,,,0.0,False,False,0
QQQ,E01,Dot-com selloff,high,Volatility percentile,True,-21.0,0.0,0.891566265060241,True,True,74
QQQ,E01,Dot-com selloff,high,CUSUM,False,,,0.0,False,False,0
QQQ,E01,Dot-com selloff,high,Instability score,True,-22.0,-11.0,0.10843373493975904,True,True,9
QQQ,E01,Dot-com selloff,high,MMD-only confirmation,True,36.0,36.0,0.04819277108433735,False,True,4
QQQ,E01,Dot-com selloff,high,Kappa-only confirmation,True,-22.0,-13.0,0.12048192771084337,True,False,10
QQQ,E01,Dot-com selloff,high,Hybrid volatility + instability confirmation,True,-21.0,-1.0,0.4939759036144578,True,True,41
QQQ,E02,September 11 reopening,critical,Volatility percentile,True,-60.0,2.0,0.38016528925619836,True,True,46
QQQ,E02,September 11 reopening,critical,CUSUM,False,,,0.0,False,False,0
QQQ,E02,September 11 reopening,critical,Instability score,True,6.0,6.0,0.1322314049586777,False,True,16
QQQ,E02,September 11 reopening,critical,MMD-only confirmation,True,7.0,7.0,0.08264462809917356,False,True,10
QQQ,E02,September 11 reopening,critical,Kappa-only confirmation,True,-3.0,-3.0,0.03305785123966942,True,True,4
QQQ,E02,September 11 reopening,critical,Hybrid volatility + instability confirmation,True,2.0,2.0,0.2892561983471074,False,True,35
QQQ,E03,WorldCom selloff,critical,Volatility percentile,True,-50.0,0.0,0.5041322314049587,True,True,61
QQQ,E03,WorldCom selloff,critical,CUSUM,True,-1.0,0.0,0.4462809917355372,True,True,54
QQQ,E03,WorldCom selloff,critical,Instability score,True,54.0,54.0,0.049586776859504134,False,True,6
QQQ,E03,WorldCom selloff,critical,MMD-only confirmation,True,54.0,54.0,0.05785123966942149,False,True,7
QQQ,E03,WorldCom selloff,critical,Kappa-only confirmation,False,,,0.0,False,False,0
QQQ,E03,WorldCom selloff,critical,Hybrid volatility + instability confirmation,True,60.0,60.0,0.008264462809917356,False,True,1
QQQ,E04,Quant crisis,medium,Volatility percentile,False,,,0.0,False,False,0
QQQ,E04,Quant crisis,medium,CUSUM,False,,,0.0,False,False,0
QQQ,E04,Quant crisis,medium,Instability score,True,17.0,17.0,0.11570247933884298,False,True,14
QQQ,E04,Quant crisis,medium,MMD-only confirmation,True,-60.0,16.0,0.17355371900826447,True,True,21
QQQ,E04,Quant crisis,medium,Kappa-only confirmation,False,,,0.0,False,False,0
QQQ,E04,Quant crisis,medium,Hybrid volatility + instability confirmation,False,,,0.0,False,False,0
QQQ,E05,Lehman crisis,critical,Volatility percentile,True,4.0,4.0,0.47107438016528924,False,True,57
QQQ,E05,Lehman crisis,critical,CUSUM,False,,,0.0,False,False,0
QQQ,E05,Lehman crisis,critical,Instability score,False,,,0.0,False,False,0
QQQ,E05,Lehman crisis,critical,MMD-only confirmation,True,-17.0,-12.0,0.049586776859504134,True,False,6
QQQ,E05,Lehman crisis,critical,Kappa-only confirmation,True,-42.0,-29.0,0.11570247933884298,True,False,14
QQQ,E05,Lehman crisis,critical,Hybrid volatility + instability confirmation,False,,,0.0,False,False,0
QQQ,E06,Flash crash,high,Volatility percentile,False,,,0.0,False,False,0
QQQ,E06,Flash crash,high,CUSUM,False,,,0.0,False,False,0
QQQ,E06,Flash crash,high,Instability score,True,-58.0,0.0,0.4380165289256198,True,True,53
QQQ,E06,Flash crash,high,MMD-only confirmation,True,-60.0,0.0,0.5206611570247934,True,True,63
QQQ,E06,Flash crash,high,Kappa-only confirmation,True,-6.0,-5.0,0.01652892561983471,True,False,2
QQQ,E06,Flash crash,high,Hybrid volatility + instability confirmation,False,,,0.0,False,False,0
QQQ,E07,U.S. downgrade selloff,critical,Volatility percentile,True,13.0,13.0,0.06611570247933884,False,True,8
QQQ,E07,U.S. downgrade selloff,critical,CUSUM,False,,,0.0,False,False,0
QQQ,E07,U.S. downgrade selloff,critical,Instability score,True,-60.0,17.0,0.1322314049586777,True,True,16
QQQ,E07,U.S. downgrade selloff,critical,MMD-only confirmation,True,-60.0,-54.0,0.05785123966942149,True,False,7
QQQ,E07,U.S. downgrade selloff,critical,Kappa-only confirmation,True,-60.0,5.0,0.3305785123966942,True,True,40
QQQ,E07,U.S. downgrade selloff,critical,Hybrid volatility + instability confirmation,True,13.0,13.0,0.06611570247933884,False,True,8
QQQ,E08,China devaluation selloff,medium,Volatility percentile,False,,,0.0,False,False,0
QQQ,E08,China devaluation selloff,medium,CUSUM,True,-60.0,-1.0,0.7520661157024794,True,True,91
QQQ,E08,China devaluation selloff,medium,Instability score,True,3.0,3.0,0.35537190082644626,False,True,43
QQQ,E08,China devaluation selloff,medium,MMD-only confirmation,True,15.0,15.0,0.09090909090909091,False,True,11
QQQ,E08,China devaluation selloff,medium,Kappa-only confirmation,True,-22.0,0.0,0.5289256198347108,True,True,64
QQQ,E08,China devaluation selloff,medium,Hybrid volatility + instability confirmation,False,,,0.0,False,False,0
QQQ,E09,Volmageddon,medium,Volatility percentile,False,,,0.0,False,False,0
QQQ,E09,Volmageddon,medium,CUSUM,True,-60.0,0.0,1.0,True,True,121
QQQ,E09,Volmageddon,medium,Instability score,True,55.0,55.0,0.049586776859504134,False,True,6
QQQ,E09,Volmageddon,medium,MMD-only confirmation,True,55.0,55.0,0.049586776859504134,False,True,6
QQQ,E09,Volmageddon,medium,Kappa-only confirmation,False,,,0.0,False,False,0
QQQ,E09,Volmageddon,medium,Hybrid volatility + instability confirmation,False,,,0.0,False,False,0
QQQ,E10,Q4 2018 selloff,high,Volatility percentile,False,,,0.0,False,False,0
QQQ,E10,Q4 2018 selloff,high,CUSUM,True,-60.0,0.0,1.0,True,True,121
QQQ,E10,Q4 2018 selloff,high,Instability score,True,19.0,19.0,0.03305785123966942,False,True,4
QQQ,E10,Q4 2018 selloff,high,MMD-only confirmation,True,-54.0,11.0,0.1652892561983471,True,True,20
QQQ,E10,Q4 2018 selloff,high,Kappa-only confirmation,False,,,0.0,False,False,0
QQQ,E10,Q4 2018 selloff,high,Hybrid volatility + instability confirmation,False,,,0.0,False,False,0
QQQ,E11,COVID crash,critical,Volatility percentile,True,-2.0,0.0,0.2644628099173554,True,True,32
QQQ,E11,COVID crash,critical,CUSUM,True,-60.0,0.0,1.0,True,True,121
QQQ,E11,COVID crash,critical,Instability score,True,-35.0,2.0,0.5041322314049587,True,True,61
QQQ,E11,COVID crash,critical,MMD-only confirmation,True,-34.0,2.0,0.4297520661157025,True,True,52
QQQ,E11,COVID crash,critical,Kappa-only confirmation,True,-38.0,20.0,0.18181818181818182,True,True,22
QQQ,E11,COVID crash,critical,Hybrid volatility + instability confirmation,True,-2.0,0.0,0.2644628099173554,True,True,32
QQQ,E12,Inflation selloff,high,Volatility percentile,False,,,0.0,False,False,0
QQQ,E12,Inflation selloff,high,CUSUM,True,-60.0,0.0,1.0,True,True,121
QQQ,E12,Inflation selloff,high,Instability score,False,,,0.0,False,False,0
QQQ,E12,Inflation selloff,high,MMD-only confirmation,False,,,0.0,False,False,0
QQQ,E12,Inflation selloff,high,Kappa-only confirmation,True,-22.0,0.0,0.19834710743801653,True,True,24
QQQ,E12,Inflation selloff,high,Hybrid volatility + instability confirmation,False,,,0.0,False,False,0
QQQ,E13,Bank stress,medium,Volatility percentile,False,,,0.0,False,False,0
QQQ,E13,Bank stress,medium,CUSUM,True,-60.0,0.0,1.0,True,True,121
QQQ,E13,Bank stress,medium,Instability score,False,,,0.0,False,False,0
QQQ,E13,Bank stress,medium,MMD-only confirmation,False,,,0.0,False,False,0
QQQ,E13,Bank stress,medium,Kappa-only confirmation,False,,,0.0,False,False,0
QQQ,E13,Bank stress,medium,Hybrid volatility + instability confirmation,False,,,0.0,False,False,0
IWM,E01,Dot-com selloff,high,Volatility percentile,False,,,0.0,False,False,0
IWM,E01,Dot-com selloff,high,CUSUM,False,,,0.0,False,False,0
IWM,E01,Dot-com selloff,high,Instability score,True,0.0,0.0,0.3442622950819672,False,True,21
IWM,E01,Dot-com selloff,high,MMD-only confirmation,True,17.0,17.0,0.2786885245901639,False,True,17
IWM,E01,Dot-com selloff,high,Kappa-only confirmation,True,0.0,0.0,0.11475409836065574,False,True,7
IWM,E01,Dot-com selloff,high,Hybrid volatility + instability confirmation,False,,,0.0,False,False,0
IWM,E02,September 11 reopening,critical,Volatility percentile,True,19.0,19.0,0.008264462809917356,False,True,1
IWM,E02,September 11 reopening,critical,CUSUM,False,,,0.0,False,False,0
IWM,E02,September 11 reopening,critical,Instability score,True,-60.0,-3.0,0.256198347107438,True,True,31
IWM,E02,September 11 reopening,critical,MMD-only confirmation,True,-60.0,6.0,0.18181818181818182,True,True,22
IWM,E02,September 11 reopening,critical,Kappa-only confirmation,True,-60.0,0.0,0.3305785123966942,True,True,40
IWM,E02,September 11 reopening,critical,Hybrid volatility + instability confirmation,True,19.0,19.0,0.008264462809917356,False,True,1
IWM,E03,WorldCom selloff,critical,Volatility percentile,True,2.0,2.0,0.21487603305785125,False,True,26
IWM,E03,WorldCom selloff,critical,CUSUM,False,,,0.0,False,False,0
IWM,E03,WorldCom selloff,critical,Instability score,True,-60.0,57.0,0.03305785123966942,True,True,4
IWM,E03,WorldCom selloff,critical,MMD-only confirmation,True,11.0,11.0,0.03305785123966942,False,True,4
IWM,E03,WorldCom selloff,critical,Kappa-only confirmation,True,-60.0,-49.0,0.09917355371900827,True,False,12
IWM,E03,WorldCom selloff,critical,Hybrid volatility + instability confirmation,True,57.0,57.0,0.03305785123966942,False,True,4
IWM,E04,Quant crisis,medium,Volatility percentile,False,,,0.0,False,False,0
IWM,E04,Quant crisis,medium,CUSUM,False,,,0.0,False,False,0
IWM,E04,Quant crisis,medium,Instability score,True,-60.0,-59.0,0.01652892561983471,True,False,2
IWM,E04,Quant crisis,medium,MMD-only confirmation,True,-60.0,18.0,0.06611570247933884,True,True,8
IWM,E04,Quant crisis,medium,Kappa-only confirmation,False,,,0.0,False,False,0
IWM,E04,Quant crisis,medium,Hybrid volatility + instability confirmation,False,,,0.0,False,False,0
IWM,E05,Lehman crisis,critical,Volatility percentile,True,-6.0,0.0,0.5537190082644629,True,True,67
IWM,E05,Lehman crisis,critical,CUSUM,False,,,0.0,False,False,0
IWM,E05,Lehman crisis,critical,Instability score,True,-16.0,-3.0,0.18181818181818182,True,True,22
IWM,E05,Lehman crisis,critical,MMD-only confirmation,True,-18.0,-5.0,0.33884297520661155,True,True,41
IWM,E05,Lehman crisis,critical,Kappa-only confirmation,True,-7.0,0.0,0.12396694214876033,True,True,15
IWM,E05,Lehman crisis,critical,Hybrid volatility + instability confirmation,True,-6.0,0.0,0.47107438016528924,True,True,57
IWM,E06,Flash crash,high,Volatility percentile,True,5.0,5.0,0.2727272727272727,False,True,33
IWM,E06,Flash crash,high,CUSUM,False,,,0.0,False,False,0
IWM,E06,Flash crash,high,Instability score,True,-24.0,-2.0,0.24793388429752067,True,True,30
IWM,E06,Flash crash,high,MMD-only confirmation,True,-58.0,-2.0,0.3140495867768595,True,True,38
IWM,E06,Flash crash,high,Kappa-only confirmation,False,,,0.0,False,False,0
IWM,E06,Flash crash,high,Hybrid volatility + instability confirmation,True,5.0,5.0,0.24793388429752067,False,True,30
IWM,E07,U.S. downgrade selloff,critical,Volatility percentile,True,1.0,1.0,0.49586776859504134,False,True,60
IWM,E07,U.S. downgrade selloff,critical,CUSUM,False,,,0.0,False,False,0
IWM,E07,U.S. downgrade selloff,critical,Instability score,True,-60.0,-60.0,0.008264462809917356,True,False,1
IWM,E07,U.S. downgrade selloff,critical,MMD-only confirmation,False,,,0.0,False,False,0
IWM,E07,U.S. downgrade selloff,critical,Kappa-only confirmation,True,-60.0,-48.0,0.03305785123966942,True,False,4
IWM,E07,U.S. downgrade selloff,critical,Hybrid volatility + instability confirmation,False,,,0.0,False,False,0
IWM,E08,China devaluation selloff,medium,Volatility percentile,False,,,0.0,False,False,0
IWM,E08,China devaluation selloff,medium,CUSUM,True,-60.0,-9.0,0.4297520661157025,True,False,52
IWM,E08,China devaluation selloff,medium,Instability score,True,4.0,4.0,0.04132231404958678,False,True,5
IWM,E08,China devaluation selloff,medium,MMD-only confirmation,False,,,0.0,False,False,0
IWM,E08,China devaluation selloff,medium,Kappa-only confirmation,True,1.0,1.0,0.15702479338842976,False,True,19
IWM,E08,China devaluation selloff,medium,Hybrid volatility + instability confirmation,False,,,0.0,False,False,0
IWM,E09,Volmageddon,medium,Volatility percentile,False,,,0.0,False,False,0
