resample,delta_f1
"[(2550, 2490, 2610), (376, 316, 436), (4501, 4441, 4561), (5031, 4971, 5091), (590, 530, 650), (376, 316, 436), (5784, 5724, 5844), (4724, 4664, 4784), (4501, 4441, 4561), (5784, 5724, 5844), (5031, 4971, 5091), (590, 530, 650), (5031, 4971, 5091)]",0.035636266567881325
"[(5784, 5724, 5844), (590, 530, 650), (4724, 4664, 4784), (4501, 4441, 4561), (3884, 3824, 3944), (2867, 2807, 2927), (22, 0, 82), (2867, 2807, 2927), (376, 316, 436), (2550, 2490, 2610), (22, 0, 82), (5597, 5537, 5657), (2867, 2807, 2927)]",-0.10829271628341644
"[(376, 316, 436), (5031, 4971, 5091), (4724, 4664, 4784), (2867, 2807, 2927), (376, 316, 436), (2550, 2490, 2610), (22, 0, 82), (2550, 2490, 2610), (4724, 4664, 4784), (2550, 2490, 2610), (376, 316, 436), (2147, 2087, 2207), (5784, 5724, 5844)]",-0.0852020154777346
"[(22, 0, 82), (4724, 4664, 4784), (3884, 3824, 3944), (4724, 4664, 4784), (5784, 5724, 5844), (2147, 2087, 2207), (5597, 5537, 5657), (4724, 4664, 4784), (5784, 5724, 5844), (2550, 2490, 2610), (2867, 2807, 2927), (376, 316, 436), (4501, 4441, 4561)]",-0.13765349319292433
"[(1860, 1800, 1920), (376, 316, 436), (4724, 4664, 4784), (2147, 2087, 2207), (5784, 5724, 5844), (22, 0, 82), (2550, 2490, 2610), (22, 0, 82), (2867, 2807, 2927), (22, 0, 82), (5031, 4971, 5091), (5784, 5724, 5844), (1860, 1800, 1920)]",-0.08346407154632113
"[(4501, 4441, 4561), (22, 0, 82), (4501, 4441, 4561), (5597, 5537, 5657), (4724, 4664, 4784), (5597, 5537, 5657), (3884, 3824, 3944), (4501, 4441, 4561), (1860, 1800, 1920), (5597, 5537, 5657), (2867, 2807, 2927), (2550, 2490, 2610), (3884, 3824, 3944)]",-0.11451426378878594
"[(376, 316, 436), (2147, 2087, 2207), (1860, 1800, 1920), (5031, 4971, 5091), (2550, 2490, 2610), (2147, 2087, 2207), (3884, 3824, 3944), (376, 316, 436), (4724, 4664, 4784), (4724, 4664, 4784), (2867, 2807, 2927), (2147, 2087, 2207), (5597, 5537, 5657)]",-0.11528079282680509
"[(22, 0, 82), (5597, 5537, 5657), (5784, 5724, 5844), (5597, 5537, 5657), (1860, 1800, 1920), (5784, 5724, 5844), (2867, 2807, 2927), (2867, 2807, 2927), (4501, 4441, 4561), (2147, 2087, 2207), (2147, 2087, 2207), (590, 530, 650), (2550, 2490, 2610)]",-0.16761302550788815
"[(2550, 2490, 2610), (5031, 4971, 5091), (5031, 4971, 5091), (22, 0, 82), (4724, 4664, 4784), (4501, 4441, 4561), (5784, 5724, 5844), (4724, 4664, 4784), (22, 0, 82), (5597, 5537, 5657), (2147, 2087, 2207), (2867, 2807, 2927), (4724, 4664, 4784)]",-0.13738661612340625
"[(5031, 4971, 5091), (5031, 4971, 5091), (5031, 4971, 5091), (2867, 2807, 2927), (3884, 3824, 3944), (22, 0, 82), (2867, 2807, 2927), (5784, 5724, 5844), (2147, 2087, 2207), (2867, 2807, 2927), (5784, 5724, 5844), (2147, 2087, 2207), (590, 530, 650)]",-0.10962962962962958
"[(590, 530, 650), (2147, 2087, 2207), (4724, 4664, 4784), (2867, 2807, 2927), (1860, 1800, 1920), (5784, 5724, 5844), (2550, 2490, 2610), (2867, 2807, 2927), (22, 0, 82), (376, 316, 436), (376, 316, 436), (2147, 2087, 2207), (2147, 2087, 2207)]",-0.10876291122808973
"[(2867, 2807, 2927), (22, 0, 82), (590, 530, 650), (2867, 2807, 2927), (2867, 2807, 2927), (2550, 2490, 2610), (4724, 4664, 4784), (4501, 4441, 4561), (5031, 4971, 5091), (2550, 2490, 2610), (2867, 2807, 2927), (22, 0, 82), (22, 0, 82)]",-0.05324618736383441
"[(3884, 3824, 3944), (376, 316, 436), (1860, 1800, 1920), (22, 0, 82), (5031, 4971, 5091), (3884, 3824, 3944), (376, 316, 436), (5784, 5724, 5844), (5784, 5724, 5844), (1860, 1800, 1920), (590, 530, 650), (4724, 4664, 4784), (4724, 4664, 4784)]",0.013477032741086636
"[(1860, 1800, 1920), (1860, 1800, 1920), (2147, 2087, 2207), (590, 530, 650), (5784, 5724, 5844), (2147, 2087, 2207), (1860, 1800, 1920), (22, 0, 82), (3884, 3824, 3944), (590, 530, 650), (376, 316, 436), (1860, 1800, 1920), (5597, 5537, 5657)]",-0.10944875837920512
"[(2147, 2087, 2207), (2147, 2087, 2207), (2867, 2807, 2927), (4724, 4664, 4784), (4501, 4441, 4561), (5597, 5537, 5657), (2867, 2807, 2927), (1860, 1800, 1920), (2867, 2807, 2927), (3884, 3824, 3944), (2550, 2490, 2610), (2550, 2490, 2610), (4501, 4441, 4561)]",-0.1420383551110639
"[(1860, 1800, 1920), (2147, 2087, 2207), (2550, 2490, 2610), (2550, 2490, 2610), (376, 316, 436), (2550, 2490, 2610), (22, 0, 82), (5597, 5537, 5657), (4501, 4441, 4561), (2867, 2807, 2927), (2147, 2087, 2207), (4724, 4664, 4784), (2867, 2807, 2927)]",-0.14981205552325808
"[(5031, 4971, 5091), (590, 530, 650), (4724, 4664, 4784), (22, 0, 82), (376, 316, 436), (5031, 4971, 5091), (22, 0, 82), (3884, 3824, 3944), (5784, 5724, 5844), (2867, 2807, 2927), (5597, 5537, 5657), (5597, 5537, 5657), (4501, 4441, 4561)]",-0.10049221659556304
"[(1860, 1800, 1920), (2550, 2490, 2610), (590, 530, 650), (1860, 1800, 1920), (5784, 5724, 5844), (5784, 5724, 5844), (2147, 2087, 2207), (2550, 2490, 2610), (2550, 2490, 2610), (4501, 4441, 4561), (4724, 4664, 4784), (5031, 4971, 5091), (2550, 2490, 2610)]",-0.019900950530911177
"[(2550, 2490, 2610), (5597, 5537, 5657), (4501, 4441, 4561), (5784, 5724, 5844), (2867, 2807, 2927), (2867, 2807, 2927), (4501, 4441, 4561), (5784, 5724, 5844), (2550, 2490, 2610), (3884, 3824, 3944), (5031, 4971, 5091), (376, 316, 436), (1860, 1800, 1920)]",-0.07959414818310523
"[(2550, 2490, 2610), (376, 316, 436), (4724, 4664, 4784), (2867, 2807, 2927), (5597, 5537, 5657), (4501, 4441, 4561), (5597, 5537, 5657), (5031, 4971, 5091), (2867, 2807, 2927), (3884, 3824, 3944), (1860, 1800, 1920), (5784, 5724, 5844), (2867, 2807, 2927)]",-0.07255932168649179
"[(2147, 2087, 2207), (590, 530, 650), (2147, 2087, 2207), (376, 316, 436), (2147, 2087, 2207), (2550, 2490, 2610), (4724, 4664, 4784), (2550, 2490, 2610), (5784, 5724, 5844), (5784, 5724, 5844), (5031, 4971, 5091), (3884, 3824, 3944), (590, 530, 650)]",-0.01046814954210279
"[(590, 530, 650), (2147, 2087, 2207), (4501, 4441, 4561), (4724, 4664, 4784), (4724, 4664, 4784), (5597, 5537, 5657), (2147, 2087, 2207), (2147, 2087, 2207), (2867, 2807, 2927), (5597, 5537, 5657), (3884, 3824, 3944), (1860, 1800, 1920), (5784, 5724, 5844)]",-0.1498631429919773
"[(3884, 3824, 3944), (590, 530, 650), (2550, 2490, 2610), (590, 530, 650), (590, 530, 650), (1860, 1800, 1920), (22, 0, 82), (5597, 5537, 5657), (2147, 2087, 2207), (5597, 5537, 5657), (5597, 5537, 5657), (2147, 2087, 2207), (5031, 4971, 5091)]",-0.08646154011145057
"[(376, 316, 436), (5031, 4971, 5091), (3884, 3824, 3944), (5031, 4971, 5091), (5784, 5724, 5844), (4724, 4664, 4784), (3884, 3824, 3944), (376, 316, 436), (1860, 1800, 1920), (2867, 2807, 2927), (5784, 5724, 5844), (4501, 4441, 4561), (2550, 2490, 2610)]",-0.02584237848041529
"[(4501, 4441, 4561), (2147, 2087, 2207), (1860, 1800, 1920), (4724, 4664, 4784), (590, 530, 650), (376, 316, 436), (2147, 2087, 2207), (5597, 5537, 5657), (5784, 5724, 5844), (590, 530, 650), (1860, 1800, 1920), (5031, 4971, 5091), (2550, 2490, 2610)]",-0.06816894819528074
"[(590, 530, 650), (4501, 4441, 4561), (22, 0, 82), (3884, 3824, 3944), (376, 316, 436), (5597, 5537, 5657), (4501, 4441, 4561), (376, 316, 436), (1860, 1800, 1920), (590, 530, 650), (22, 0, 82), (5784, 5724, 5844), (4724, 4664, 4784)]",-0.05870278492303033
"[(3884, 3824, 3944), (376, 316, 436), (4501, 4441, 4561), (5597, 5537, 5657), (590, 530, 650), (3884, 3824, 3944), (22, 0, 82), (4724, 4664, 4784), (2867, 2807, 2927), (2867, 2807, 2927), (376, 316, 436), (3884, 3824, 3944), (5031, 4971, 5091)]",-0.10416384617222404
