resample,delta_fpr
1007,-0.027190332326283984
1008,-0.03153257593322513
1009,-0.05253704535249214
1010,-0.042175360710321866
1011,-0.04008106282368836
1012,-0.03228825456247075
1013,-0.031465319246669725
1014,-0.06217738151102769
1015,-0.04009912142374409
1016,-0.04420387911592241
1017,-0.04782411604714415
1018,-0.03592814371257485
1019,-0.028590425531914893
1020,-0.02270121531758771
1021,-0.039664551223934724
1022,-0.060117967332123406
1023,-0.03456902433477371
1024,-0.06367816091954023
1025,-0.013073343673831155
1026,-0.036176864671728454
1027,-0.02498384665087228
1028,-0.033152909336941816
1029,-0.04356435643564356
1030,-0.05065710872162485
1031,-0.04458161865569273
1032,-0.040282203004096497
1033,-0.028175414678482166
1034,-0.03648827952233525
1035,-0.029930757203484478
1036,-0.038757932910244784
1037,-0.045619609623241034
1038,-0.025065387968613774
1039,-0.029729729729729728
1040,-0.04028331119964586
1041,-0.02358906525573192
1042,-0.029451744449478928
1043,-0.045164233576642336
1044,-0.029544521953221176
1045,-0.03313180169286578
1046,-0.04316546762589928
1047,-0.05095828635851184
1048,-0.04908407703147018
1049,-0.035177042351307565
1050,-0.030948643193541153
1051,-0.06045678459471563
1052,-0.05355064027939465
1053,-0.04887301941530908
1054,-0.03351404632824051
1055,-0.03389064618165387
1056,-0.04013810962451446
1057,-0.04079332882578318
1058,-0.03323262839879154
1059,-0.021452513966480447
1060,-0.02702127659574468
1061,-0.025787965616045842
1062,-0.025630339654094603
1063,-0.0416210295728368
1064,-0.04815524676569238
1065,-0.026948124859645185
1066,-0.03911228301472204
1067,-0.04392649036306589
1068,-0.03544857768052516
1069,-0.04146620847651775
1070,-0.039198606271777
1071,-0.03182616330114135
1072,-0.04012767897856817
1073,-0.048535198950590296
1074,-0.038410886742756806
1075,-0.06254264271093928
1076,-0.027639818613690345
1077,-0.0660627485638533
1078,-0.03384056325232796
1079,-0.030419107706173953
1080,-0.01983689662772757
1081,-0.04484820607175713
1082,-0.04832029452369996
1083,-0.04369709448638756
1084,-0.03978961811113652
1085,-0.0316072629455279
1086,-0.04058094831268689
1087,-0.03519333178976615
1088,-0.030967127203430204
1089,-0.03768956289027654
1090,-0.022039180765805876
1091,-0.03440521700022487
1092,-0.03512396694214876
1093,-0.0431989366415596
1094,-0.03758542141230069
1095,-0.04841919080256467
1096,-0.06057385759829968
1097,-0.04727272727272727
1098,-0.04698426573426573
1099,-0.029439252336448597
1100,-0.04592525889239082
1101,-0.027455357142857142
1102,-0.04110207768744354
1103,-0.042748793380832
1104,-0.033246259795772976
1105,-0.033415564027808924
1106,-0.03245165592353856
1107,-0.04753363228699552
1108,-0.03707995365005794
1109,-0.03720106288751107
1110,-0.04068030337853367
1111,-0.04491413474240423
1112,-0.02685700459714493
1113,-0.04859278803869833
1114,-0.04579291676065869
1115,-0.02501106684373617
1116,-0.05234867959803692
1117,-0.03045912653975364
1118,-0.033962264150943396
1119,-0.05471399502600045
1120,-0.033112582781456956
1121,-0.044114387053868324
1122,-0.0379746835443038
1123,-0.021033379058070414
1124,-0.032525796321220275
1125,-0.06293238116491855
1126,-0.027667057444314185
1127,-0.027317510076130765
1128,-0.026799557032115173
1129,-0.04721862871927555
1130,-0.04904386951631046
1131,-0.028712234840368545
1132,-0.05547913801008711
1133,-0.02945236999539807
1134,-0.03738317757009346
1135,-0.0396735434141918
1136,-0.039795205957644866
1137,-0.04975231531337498
1138,-0.01997276441216523
1139,-0.03275529865125241
1140,-0.028855032317636194
1141,-0.028509249183895538
1142,-0.03229448961156278
1143,-0.05688414209426514
1144,-0.03973357831878732
1145,-0.04853932584269663
1146,-0.05086206896551724
1147,-0.04380502469400902
1148,-0.038257663056003685
