ticker,ratio_false_alarm_to_missed_event,delay_cost,method,false_alarm_days,missed_events,total_positive_delay,cost,preferred_method_at_ratio
QQQ,0.05,0.05,Hybrid volatility + instability confirmation,27,8,75.0,13.1,Hybrid volatility + instability confirmation
QQQ,0.1,0.05,Hybrid volatility + instability confirmation,27,8,75.0,14.45,Hybrid volatility + instability confirmation
QQQ,0.25,0.05,Hybrid volatility + instability confirmation,27,8,75.0,18.5,Hybrid volatility + instability confirmation
QQQ,0.5,0.05,Hybrid volatility + instability confirmation,27,8,75.0,25.25,Hybrid volatility + instability confirmation
QQQ,1.0,0.05,Hybrid volatility + instability confirmation,27,8,75.0,38.75,Hybrid volatility + instability confirmation
QQQ,0.01,0.1,Hybrid volatility + instability confirmation,27,8,75.0,15.77,Volatility percentile
QQQ,0.05,0.1,Hybrid volatility + instability confirmation,27,8,75.0,16.85,Hybrid volatility + instability confirmation
QQQ,0.1,0.1,Hybrid volatility + instability confirmation,27,8,75.0,18.2,Hybrid volatility + instability confirmation
QQQ,0.25,0.1,Hybrid volatility + instability confirmation,27,8,75.0,22.25,Hybrid volatility + instability confirmation
QQQ,0.5,0.1,Hybrid volatility + instability confirmation,27,8,75.0,29.0,Hybrid volatility + instability confirmation
QQQ,1.0,0.1,Hybrid volatility + instability confirmation,27,8,75.0,42.5,Hybrid volatility + instability confirmation
IWM,0.01,0.0,Volatility percentile,247,6,27.0,8.47,Volatility percentile
IWM,0.05,0.0,Volatility percentile,247,6,27.0,18.35,Hybrid volatility + instability confirmation
IWM,0.1,0.0,Volatility percentile,247,6,27.0,30.700000000000003,Hybrid volatility + instability confirmation
IWM,0.25,0.0,Volatility percentile,247,6,27.0,67.75,Hybrid volatility + instability confirmation
IWM,0.5,0.0,Volatility percentile,247,6,27.0,129.5,Hybrid volatility + instability confirmation
IWM,1.0,0.0,Volatility percentile,247,6,27.0,253.0,Hybrid volatility + instability confirmation
IWM,0.01,0.05,Volatility percentile,247,6,27.0,9.82,Volatility percentile
IWM,0.05,0.05,Volatility percentile,247,6,27.0,19.700000000000003,Hybrid volatility + instability confirmation
IWM,0.1,0.05,Volatility percentile,247,6,27.0,32.050000000000004,Hybrid volatility + instability confirmation
IWM,0.25,0.05,Volatility percentile,247,6,27.0,69.1,Hybrid volatility + instability confirmation
IWM,0.5,0.05,Volatility percentile,247,6,27.0,130.85,Hybrid volatility + instability confirmation
IWM,1.0,0.05,Volatility percentile,247,6,27.0,254.35,Hybrid volatility + instability confirmation
IWM,0.01,0.1,Volatility percentile,247,6,27.0,11.170000000000002,Volatility percentile
IWM,0.05,0.1,Volatility percentile,247,6,27.0,21.05,Volatility percentile
IWM,0.1,0.1,Volatility percentile,247,6,27.0,33.400000000000006,Hybrid volatility + instability confirmation
IWM,0.25,0.1,Volatility percentile,247,6,27.0,70.45,Hybrid volatility + instability confirmation
IWM,0.5,0.1,Volatility percentile,247,6,27.0,132.2,Hybrid volatility + instability confirmation
IWM,1.0,0.1,Volatility percentile,247,6,27.0,255.7,Hybrid volatility + instability confirmation
IWM,0.01,0.0,Hybrid volatility + instability confirmation,122,8,81.0,9.22,Volatility percentile
IWM,0.05,0.0,Hybrid volatility + instability confirmation,122,8,81.0,14.100000000000001,Hybrid volatility + instability confirmation
IWM,0.1,0.0,Hybrid volatility + instability confirmation,122,8,81.0,20.200000000000003,Hybrid volatility + instability confirmation
IWM,0.25,0.0,Hybrid volatility + instability confirmation,122,8,81.0,38.5,Hybrid volatility + instability confirmation
IWM,0.5,0.0,Hybrid volatility + instability confirmation,122,8,81.0,69.0,Hybrid volatility + instability confirmation
IWM,1.0,0.0,Hybrid volatility + instability confirmation,122,8,81.0,130.0,Hybrid volatility + instability confirmation
IWM,0.01,0.05,Hybrid volatility + instability confirmation,122,8,81.0,13.27,Volatility percentile
IWM,0.05,0.05,Hybrid volatility + instability confirmation,122,8,81.0,18.150000000000002,Hybrid volatility + instability confirmation
IWM,0.1,0.05,Hybrid volatility + instability confirmation,122,8,81.0,24.250000000000004,Hybrid volatility + instability confirmation
IWM,0.25,0.05,Hybrid volatility + instability confirmation,122,8,81.0,42.55,Hybrid volatility + instability confirmation
IWM,0.5,0.05,Hybrid volatility + instability confirmation,122,8,81.0,73.05,Hybrid volatility + instability confirmation
IWM,1.0,0.05,Hybrid volatility + instability confirmation,122,8,81.0,134.05,Hybrid volatility + instability confirmation
IWM,0.01,0.1,Hybrid volatility + instability confirmation,122,8,81.0,17.32,Volatility percentile
IWM,0.05,0.1,Hybrid volatility + instability confirmation,122,8,81.0,22.200000000000003,Volatility percentile
IWM,0.1,0.1,Hybrid volatility + instability confirmation,122,8,81.0,28.300000000000004,Hybrid volatility + instability confirmation
IWM,0.25,0.1,Hybrid volatility + instability confirmation,122,8,81.0,46.6,Hybrid volatility + instability confirmation
IWM,0.5,0.1,Hybrid volatility + instability confirmation,122,8,81.0,77.1,Hybrid volatility + instability confirmation
IWM,1.0,0.1,Hybrid volatility + instability confirmation,122,8,81.0,138.1,Hybrid volatility + instability confirmation
HYG,0.01,0.0,Volatility percentile,192,8,11.0,9.92,Volatility percentile
HYG,0.05,0.0,Volatility percentile,192,8,11.0,17.6,Hybrid volatility + instability confirmation
HYG,0.1,0.0,Volatility percentile,192,8,11.0,27.200000000000003,Hybrid volatility + instability confirmation
HYG,0.25,0.0,Volatility percentile,192,8,11.0,56.0,Hybrid volatility + instability confirmation
HYG,0.5,0.0,Volatility percentile,192,8,11.0,104.0,Hybrid volatility + instability confirmation
HYG,1.0,0.0,Volatility percentile,192,8,11.0,200.0,Hybrid volatility + instability confirmation
HYG,0.01,0.05,Volatility percentile,192,8,11.0,10.47,Volatility percentile
HYG,0.05,0.05,Volatility percentile,192,8,11.0,18.150000000000002,Hybrid volatility + instability confirmation
HYG,0.1,0.05,Volatility percentile,192,8,11.0,27.750000000000004,Hybrid volatility + instability confirmation
HYG,0.25,0.05,Volatility percentile,192,8,11.0,56.55,Hybrid volatility + instability confirmation
HYG,0.5,0.05,Volatility percentile,192,8,11.0,104.55,Hybrid volatility + instability confirmation
HYG,1.0,0.05,Volatility percentile,192,8,11.0,200.55,Hybrid volatility + instability confirmation
HYG,0.01,0.1,Volatility percentile,192,8,11.0,11.02,Volatility percentile
HYG,0.05,0.1,Volatility percentile,192,8,11.0,18.700000000000003,Hybrid volatility + instability confirmation
HYG,0.1,0.1,Volatility percentile,192,8,11.0,28.300000000000004,Hybrid volatility + instability confirmation
HYG,0.25,0.1,Volatility percentile,192,8,11.0,57.1,Hybrid volatility + instability confirmation
HYG,0.5,0.1,Volatility percentile,192,8,11.0,105.1,Hybrid volatility + instability confirmation
HYG,1.0,0.1,Volatility percentile,192,8,11.0,201.1,Hybrid volatility + instability confirmation
HYG,0.01,0.0,Hybrid volatility + instability confirmation,70,10,7.0,10.7,Volatility percentile
HYG,0.05,0.0,Hybrid volatility + instability confirmation,70,10,7.0,13.5,Hybrid volatility + instability confirmation
HYG,0.1,0.0,Hybrid volatility + instability confirmation,70,10,7.0,17.0,Hybrid volatility + instability confirmation
HYG,0.25,0.0,Hybrid volatility + instability confirmation,70,10,7.0,27.5,Hybrid volatility + instability confirmation
HYG,0.5,0.0,Hybrid volatility + instability confirmation,70,10,7.0,45.0,Hybrid volatility + instability confirmation
HYG,1.0,0.0,Hybrid volatility + instability confirmation,70,10,7.0,80.0,Hybrid volatility + instability confirmation
HYG,0.01,0.05,Hybrid volatility + instability confirmation,70,10,7.0,11.049999999999999,Volatility percentile
HYG,0.05,0.05,Hybrid volatility + instability confirmation,70,10,7.0,13.85,Hybrid volatility + instability confirmation
HYG,0.1,0.05,Hybrid volatility + instability confirmation,70,10,7.0,17.35,Hybrid volatility + instability confirmation
HYG,0.25,0.05,Hybrid volatility + instability confirmation,70,10,7.0,27.85,Hybrid volatility + instability confirmation
HYG,0.5,0.05,Hybrid volatility + instability confirmation,70,10,7.0,45.35,Hybrid volatility + instability confirmation
HYG,1.0,0.05,Hybrid volatility + instability confirmation,70,10,7.0,80.35,Hybrid volatility + instability confirmation
HYG,0.01,0.1,Hybrid volatility + instability confirmation,70,10,7.0,11.399999999999999,Volatility percentile
HYG,0.05,0.1,Hybrid volatility + instability confirmation,70,10,7.0,14.2,Hybrid volatility + instability confirmation
HYG,0.1,0.1,Hybrid volatility + instability confirmation,70,10,7.0,17.7,Hybrid volatility + instability confirmation
HYG,0.25,0.1,Hybrid volatility + instability confirmation,70,10,7.0,28.2,Hybrid volatility + instability confirmation
HYG,0.5,0.1,Hybrid volatility + instability confirmation,70,10,7.0,45.7,Hybrid volatility + instability confirmation
HYG,1.0,0.1,Hybrid volatility + instability confirmation,70,10,7.0,80.7,Hybrid volatility + instability confirmation
TLT,0.01,0.0,Volatility percentile,347,6,10.0,9.47,Volatility percentile
TLT,0.05,0.0,Volatility percentile,347,6,10.0,23.35,Hybrid volatility + instability confirmation
TLT,0.1,0.0,Volatility percentile,347,6,10.0,40.7,Hybrid volatility + instability confirmation
TLT,0.25,0.0,Volatility percentile,347,6,10.0,92.75,Hybrid volatility + instability confirmation
TLT,0.5,0.0,Volatility percentile,347,6,10.0,179.5,Hybrid volatility + instability confirmation
TLT,1.0,0.0,Volatility percentile,347,6,10.0,353.0,Hybrid volatility + instability confirmation
TLT,0.01,0.05,Volatility percentile,347,6,10.0,9.97,Volatility percentile
TLT,0.05,0.05,Volatility percentile,347,6,10.0,23.85,Hybrid volatility + instability confirmation
TLT,0.1,0.05,Volatility percentile,347,6,10.0,41.2,Hybrid volatility + instability confirmation
TLT,0.25,0.05,Volatility percentile,347,6,10.0,93.25,Hybrid volatility + instability confirmation
TLT,0.5,0.05,Volatility percentile,347,6,10.0,180.0,Hybrid volatility + instability confirmation
TLT,1.0,0.05,Volatility percentile,347,6,10.0,353.5,Hybrid volatility + instability confirmation
TLT,0.01,0.1,Volatility percentile,347,6,10.0,10.47,Volatility percentile
TLT,0.05,0.1,Volatility percentile,347,6,10.0,24.35,Hybrid volatility + instability confirmation
TLT,0.1,0.1,Volatility percentile,347,6,10.0,41.7,Hybrid volatility + instability confirmation
TLT,0.25,0.1,Volatility percentile,347,6,10.0,93.75,Hybrid volatility + instability confirmation
TLT,0.5,0.1,Volatility percentile,347,6,10.0,180.5,Hybrid volatility + instability confirmation
TLT,1.0,0.1,Volatility percentile,347,6,10.0,354.0,Hybrid volatility + instability confirmation
TLT,0.01,0.0,Hybrid volatility + instability confirmation,207,9,46.0,11.07,Volatility percentile
TLT,0.05,0.0,Hybrid volatility + instability confirmation,207,9,46.0,19.35,Hybrid volatility + instability confirmation
TLT,0.1,0.0,Hybrid volatility + instability confirmation,207,9,46.0,29.700000000000003,Hybrid volatility + instability confirmation
TLT,0.25,0.0,Hybrid volatility + instability confirmation,207,9,46.0,60.75,Hybrid volatility + instability confirmation
TLT,0.5,0.0,Hybrid volatility + instability confirmation,207,9,46.0,112.5,Hybrid volatility + instability confirmation
TLT,1.0,0.0,Hybrid volatility + instability confirmation,207,9,46.0,216.0,Hybrid volatility + instability confirmation
TLT,0.01,0.05,Hybrid volatility + instability confirmation,207,9,46.0,13.370000000000001,Volatility percentile
TLT,0.05,0.05,Hybrid volatility + instability confirmation,207,9,46.0,21.650000000000002,Hybrid volatility + instability confirmation
TLT,0.1,0.05,Hybrid volatility + instability confirmation,207,9,46.0,32.0,Hybrid volatility + instability confirmation
TLT,0.25,0.05,Hybrid volatility + instability confirmation,207,9,46.0,63.05,Hybrid volatility + instability confirmation
TLT,0.5,0.05,Hybrid volatility + instability confirmation,207,9,46.0,114.8,Hybrid volatility + instability confirmation
TLT,1.0,0.05,Hybrid volatility + instability confirmation,207,9,46.0,218.3,Hybrid volatility + instability confirmation
TLT,0.01,0.1,Hybrid volatility + instability confirmation,207,9,46.0,15.670000000000002,Volatility percentile
TLT,0.05,0.1,Hybrid volatility + instability confirmation,207,9,46.0,23.950000000000003,Hybrid volatility + instability confirmation
TLT,0.1,0.1,Hybrid volatility + instability confirmation,207,9,46.0,34.300000000000004,Hybrid volatility + instability confirmation
TLT,0.25,0.1,Hybrid volatility + instability confirmation,207,9,46.0,65.35,Hybrid volatility + instability confirmation
TLT,0.5,0.1,Hybrid volatility + instability confirmation,207,9,46.0,117.1,Hybrid volatility + instability confirmation
TLT,1.0,0.1,Hybrid volatility + instability confirmation,207,9,46.0,220.6,Hybrid volatility + instability confirmation
