w_return,w_volatility,w_zscore,precision,recall,f1,fpr,tp,fp,fn,tn,event_coverage,event_delay,event_alignment_error,events_detected
0.5,0.3,0.2,0.8862559241706162,0.12182410423452769,0.21420389461626577,0.005390835579514825,187,24,1348,4428,0.6153846153846154,6.75,8.25,8
0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8862559241706162,0.12182410423452769,0.21420389461626577,0.005390835579514825,187,24,1348,4428,0.6153846153846154,6.75,8.25,8
0.2,0.3,0.5,0.8862559241706162,0.12182410423452769,0.21420389461626577,0.005390835579514825,187,24,1348,4428,0.6153846153846154,6.75,8.25,8
0.6,0.2,0.2,0.8820754716981132,0.12182410423452769,0.2140812821980538,0.005615453728661276,187,25,1348,4427,0.6153846153846154,6.75,8.25,8
0.4,0.4,0.2,0.8862559241706162,0.12182410423452769,0.21420389461626577,0.005390835579514825,187,24,1348,4428,0.6153846153846154,6.75,8.25,8
0.5,0.2,0.3,0.8862559241706162,0.12182410423452769,0.21420389461626577,0.005390835579514825,187,24,1348,4428,0.6153846153846154,6.75,8.25,8
0.2,0.6,0.2,0.9,0.13485342019543975,0.23456090651558073,0.005166217430368374,207,23,1328,4429,0.6153846153846154,4.375,5.875,8
1.0,0.0,0.0,0.8445378151260504,0.13094462540716612,0.2267343485617597,0.008310871518418687,201,37,1334,4415,0.6153846153846154,0.75,3.625,8
0.0,1.0,0.0,0.8149779735682819,0.12052117263843648,0.20998864926220207,0.009433962264150943,185,42,1350,4410,0.5384615384615384,1.4285714285714286,4.714285714285714,7
0.0,0.0,1.0,0.8862559241706162,0.12182410423452769,0.21420389461626577,0.005390835579514825,187,24,1348,4428,0.6153846153846154,6.75,8.25,8
