confirmation_term,precision,recall,f1,fpr,tp,fp,fn,tn,event_coverage,event_delay,event_alignment_error,events_detected
|z_kappa| two-sided,0.8862559241706162,0.12182410423452769,0.21420389461626577,0.005390835579514825,187,24,1348,4428,0.6153846153846154,6.75,8.25,8
"max(-z_kappa,0) low kappa",0.875,0.11400651465798045,0.20172910662824203,0.005615453728661276,175,25,1360,4427,0.5384615384615384,6.714285714285714,8.571428571428571,7
"max(+z_kappa,0) high kappa",0.8744939271255061,0.14071661237785016,0.24242424242424238,0.006963162623539982,216,31,1319,4421,0.5384615384615384,1.5714285714285714,3.7142857142857144,7
