term,sd,corr_with_composite
0.5 * log_return,0.006162149598816255,0.8714791410760344
0.3 * rolling_volatility,0.0020435155903064115,0.05163845441133378
0.2 * return_zscore,0.20281953896302338,0.9998536160450988
composite x_t,0.20826555826298565,1.0
