variant,precision,recall,f1,fpr,tp,fp,fn,tn,event_coverage,event_delay,event_alignment_error,events_detected,alarm_days_outside,missed_events,total_positive_delay,crossover_ratio_cd005
symmetric_w10,0.8862559241706162,0.12182410423452769,0.21420389461626577,0.005390835579514825,187,24,1348,4428,0.6153846153846154,6.75,8.25,8,24,5,66.0,0.020760233918128652
trailing_w10,0.9166666666666666,0.1003257328990228,0.18085731062830296,0.0031446540880503146,154,14,1381,4438,0.6153846153846154,10.75,11.75,8,14,5,94.0,0.027348066298342542
trailing_w20,0.8380952380952381,0.11465798045602606,0.2017191977077364,0.0076370170709793355,176,34,1359,4418,0.6153846153846154,9.5,10.5,8,34,5,84.0,0.027639751552795033
fully_causal_w10,0.6592592592592592,0.057980456026058634,0.10658682634730539,0.010332434860736747,89,46,1446,4406,0.3076923076923077,15.75,17.0,4,46,9,68.0,0.05134228187919463
fully_causal_w40,0.5679012345679012,0.08990228013029317,0.15523059617547805,0.02358490566037736,138,105,1397,4347,0.5384615384615384,10.285714285714286,11.428571428571429,7,105,6,80.0,0.058333333333333334
volatility_reference,0.6395563770794824,0.2254071661237785,0.33333333333333337,0.04380053908355795,346,195,1189,4257,0.7692307692307693,-1.2,3.6,10,195,3,35.0,
