date,price,log_return,rolling_volatility,return_zscore,signal
2000-03-15,87.83374786376953,0.02306260396200077,0.015217617602261344,1.376095797639222,0.2913157467895232
2000-03-16,91.9368667602539,0.0456563118042812,0.017970382448367284,2.53968555371587,0.5361563813798248
2000-03-17,92.54448699951172,0.006587358820750566,0.017895516150853275,0.315863344049576,0.07183500306554647
2000-03-20,92.0721206665039,-0.005117279206706016,0.017046750635207265,-0.36367329815897814,-0.07017927404458646
2000-03-21,93.96163177490234,0.020314336105364816,0.017349072265934476,1.251509416719261,0.265663773076315
2000-03-22,94.53238677978516,0.0060559666944906,0.017281613996549008,0.3465129171715143,0.07751505098051287
2000-03-23,96.1462631225586,0.016928113167568704,0.016409437624266787,0.9928935944859347,0.21196560676825132
2000-03-24,96.71704864501952,0.005919085218559772,0.016230690286935398,0.28134048336369183,0.06409684636809887
2000-03-27,95.69357299804688,-0.010638553019518326,0.016367151629167062,-0.7348642375507597,-0.14738197853116097
2000-03-28,95.1424789428711,-0.005775591996322937,0.0165308007102013,-0.40502980908271985,-0.07893451760164505
2000-03-29,95.24089813232422,0.001033905372751498,0.01654180256477548,0.01624976135809196,0.008729445727426784
2000-03-30,93.64666748046876,-0.01688060835020977,0.0172101330805629,-1.0824423832562706,-0.21976574090219017
2000-03-31,94.70948028564452,0.011285260369641392,0.016954174694875333,0.6643617186672034,0.14360122632672398
2000-04-03,95.26055145263672,0.005801680482762528,0.01667668208262973,0.30618501741984483,0.06914084835013914
2000-04-04,94.55206298828124,-0.007465170391389719,0.015981200651449697,-0.5819172380103884,-0.11532167260233764
2000-04-05,93.96163177490234,-0.006264087548333741,0.01611785320520695,-0.480969327255385,-0.09449055326368179
2000-04-06,94.77835083007812,0.008654490072517618,0.015112743695675597,0.47920453944250757,0.10470197603346301
2000-04-07,95.378662109375,0.006313869410308648,0.014981129288542101,0.31153244568190785,0.06995776262809852
2000-04-10,95.00472259521484,-0.003928283926754261,0.014689502350361542,-0.42077167093894424,-0.08171162544605752
2000-04-11,94.72915649414062,-0.0029047663617909336,0.01413767904818061,-0.3181461353164709,-0.06084030652973547
2000-04-12,92.13117980957033,-0.027808406571160127,0.01523745546222806,-1.9670717494438583,-0.4027473165356833
2000-04-13,90.851806640625,-0.013983748343375346,0.011764144756646375,-0.9857645524704342,-0.20061554123878061
2000-04-14,85.65577697753906,-0.058893009463862,0.017415019473983415,-3.452961444163777,-0.7148142877224914
2000-04-17,88.64747619628906,0.034330891658606255,0.019388186133010996,1.9747334929735216,0.41792860026391077
2000-04-18,90.98960876464844,0.026077747785318017,0.019774645247626902,1.4393130937624081,0.30683388621942875
2000-04-19,90.14327239990234,-0.00934499046696935,0.019760392855400755,-0.5177375496184372,-0.10229188730055189
2000-04-20,90.57626342773438,0.004791865521081462,0.01931774145865906,0.24951837417163145,0.05809493003246474
2000-04-24,89.59217834472656,-0.010924164740705677,0.019276283168101253,-0.6273462532110108,-0.1251484480621246
2000-04-25,93.31207275390624,0.04068147571950309,0.021597700394886295,2.1484909477254313,0.45651823752330367
2000-04-26,92.25907135009766,-0.01134888412565882,0.021694764833162725,-0.6736687390285622,-0.13389976041859303
2000-04-27,91.9540023803711,-0.003312134610627737,0.021689405083952822,-0.22097632366634218,-0.039344510513396456
2000-04-28,91.38323974609376,-0.006226388829634111,0.02142764026779642,-0.3917709985405756,-0.07503910204259326
2000-05-01,92.62321472167967,0.01347772010636561,0.021500486301144296,0.667280173321052,0.1466450406077365
2000-05-02,90.7730941772461,-0.02017688710857435,0.02184272113367699,-1.1782423636440655,-0.2391840999429972
2000-05-03,88.64747619628906,-0.023695359250098136,0.022336234294567887,-1.323754427344019,-0.26989769480548254
2000-05-04,89.31663513183594,0.0075201913930209585,0.022449873158183174,0.36235591889643487,0.0829662414232524
2000-05-05,90.39915466308594,0.012047162077370999,0.022551459430632376,0.577582491462095,0.1283055171602942
2000-05-08,89.72014617919922,-0.007539577349468196,0.022483499508641418,-0.485196420648784,-0.09406402295189847
2000-05-09,89.00171661376953,-0.008039681591586856,0.02251065480712817,-0.4855447618199329,-0.09437559671764156
2000-05-10,86.99415588378906,-0.02281471469252061,0.022930284663774107,-1.2441383355083153,-0.25335593904879117
2000-05-11,88.9820556640625,0.02259378500285969,0.022975552347270573,1.1834374021622507,0.25487703863806116
2000-05-12,89.94645690917969,0.010779842410248541,0.022948187261863214,0.5394060739162951,0.12015559216694227
2000-05-15,91.50135803222656,0.01713924399171063,0.018663552657996504,0.8811014768704583,0.19038898316734593
2000-05-16,92.38701629638672,0.009632638447837572,0.01726719430704418,0.4601773562645681,0.10203194876894567
2000-05-17,91.42261505126952,-0.010493575201982352,0.016510388658199298,-0.6301763057112676,-0.12632893214578492
2000-05-18,90.30071258544922,-0.012347525595915343,0.016615422438656456,-0.7144305099204429,-0.1440752380504493
2000-05-19,88.8836441040039,-0.015817206942576156,0.01694411046352265,-0.8662215416491961,-0.17606967866207052
2000-05-22,88.2144546508789,-0.007557310245280391,0.01685622598406291,-0.41354541017107505,-0.08143086936163633
2000-05-23,86.91543579101562,-0.014835190963883527,0.013999012993712746,-0.803012445019519,-0.16382038058773174
2000-05-24,88.33253479003906,0.016172853612691718,0.014534548887426727,0.8452982067055641,0.18150643281368672
2000-05-25,86.81703186035156,-0.017305675157422762,0.014923794928049171,-0.9313229524498016,-0.19044028959025697
2000-05-26,86.91543579101562,0.0011328215447310441,0.014927519301577702,0.1319617597371493,0.03143701851026869
2000-05-30,89.74966430664062,0.0320886434936174,0.016476122339727915,1.847421074961812,0.3904713734410895
2000-05-31,89.94645690917969,0.002190283016472172,0.01589597250471979,0.15019169778246075,0.03590227281614417
2000-06-01,91.52104949951172,0.01735442493732986,0.015379347838639774,1.0143680015460699,0.21616461712947083
2000-06-02,93.11526489257812,0.017269138169750953,0.015727581670464705,0.9880582201070629,0.21096448760742748
2000-06-05,92.6625747680664,-0.004873466300533202,0.015618066316179928,-0.23470927212229054,-0.044693167679870735
2000-06-06,92.24925231933594,-0.004470488920087057,0.015542192512680821,-0.20025831725279944,-0.03762425015679917
2000-06-07,92.8889389038086,0.006910396238124505,0.015423866652820523,0.42697539240784044,0.0934774365964765
2000-06-08,92.5247573852539,-0.003928318071116266,0.014357037455709282,-0.19183709445730923,-0.0360244666903072
2000-06-09,92.32799530029295,-0.002128852899543787,0.013634779777314567,-0.0858130349684335,-0.014136599510264223
2000-06-12,91.24545288085938,-0.01179424343747204,0.013789744226715578,-0.6447479701946679,-0.13070979248965492
2000-06-13,92.95780181884766,0.018592486518655527,0.013884336878841745,1.0765197731385874,0.22876549895069775
2000-06-14,93.11526489257812,0.0016924868719723207,0.013730842813282016,0.12206208276256884,0.029377912832484535
2000-06-15,93.31207275390624,0.0021113634612222043,0.013492076346755578,0.13517880101942073,0.03213906483852192
2000-06-16,92.54537200927734,-0.008250464163229942,0.01330823771623472,-0.4518193212142166,-0.09049662500958787
2000-06-19,93.72906494140624,0.012709300155111514,0.012907944821689709,0.7331173638394011,0.1568505062919429
2000-06-20,93.3936538696289,-0.0035849354170043313,0.01277240064475749,-0.1795823809359556,-0.033877223702266035
2000-06-21,93.354248046875,-0.0004220215909720437,0.012111385596279351,-0.004060450153124529,0.0026103148527728774
2000-06-22,91.93375396728516,-0.015333123509770452,0.012431072031044323,-0.8306896161744638,-0.1700751633804647
2000-06-23,91.14463806152344,-0.008620578145769997,0.011859818227873475,-0.4847454755026859,-0.09770143870506014
2000-06-26,92.31851959228516,0.012797093060504139,0.01207735886976435,0.7204035170325908,0.15410245759769953
2000-06-27,91.63786315917967,-0.007400227479744004,0.010148002257582013,-0.5788329158123625,-0.11642229622506992
2000-06-28,91.89430236816406,0.0027944897302232263,0.010152502032339385,0.14458664939416463,0.03336032535364636
2000-06-29,91.02627563476562,-0.00949082119180833,0.00964848883962916,-0.681175586741413,-0.13808598129229804
2000-06-30,91.71678161621094,0.00755716007055085,0.008937443864440097,0.5180985892905544,0.11007953105271834
2000-07-03,92.9793472290039,0.013672027536752118,0.009435993546308119,0.9369980278722307,0.19706641740671466
2000-07-05,91.30245208740234,-0.018199750970475215,0.01025523734518812,-1.3091947424608046,-0.2678622527738421
2000-07-06,92.0126953125,0.007748915341567297,0.010288854432742191,0.6178594503412916,0.13053300406886464
2000-07-07,93.4923324584961,0.015952867084375377,0.010880916683985232,1.198041559151769,0.25084902037773704
2000-07-10,93.3344955444336,-0.0016896604550966643,0.010875731079278595,-0.15188164080255148,-0.027958439064275052
2000-07-11,93.53177642822266,0.002111466718965005,0.010482962623580313,0.12613120488834828,0.029426863124226252
2000-07-12,94.1433563232422,0.006517454400084333,0.009753129908551423,0.47812148239206037,0.10180896265101969
2000-07-13,94.55764770507812,0.004390989328587835,0.009787155044888427,0.2832398229540524,0.06177960576857093
2000-07-14,95.48483276367188,0.009757738511972036,0.00998962163338842,0.6796157583097148,0.14379890740794551
2000-07-17,95.32704162597656,-0.0016538926014755262,0.00976935001931683,-0.24337568223269515,-0.04657127774148175
2000-07-18,94.54778289794922,-0.008208177204488187,0.00962256301191398,-0.7513115350931492,-0.15147962671729975
2000-07-19,93.78822326660156,-0.008066049237887007,0.009772095770933647,-0.738246220595879,-0.1487506400068392
2000-07-20,95.0903091430664,0.013787766002502089,0.01022952651530752,1.0223294872221227,0.21442863840026785
2000-07-21,93.23577880859376,-0.019695521784030667,0.010632909281978574,-1.7460876402474694,-0.35587541615691565
2000-07-24,92.70320129394533,-0.0057285349288340726,0.010518487037163005,-0.5588235250776089,-0.11147342636878992
2000-07-25,92.99911499023438,0.0031869709831413573,0.010157187171167741,0.2165513563554287,0.047950912914006744
2000-07-26,92.09161376953124,-0.009806093463914145,0.010267666226764519,-0.8654702805861033,-0.1749168029811484
2000-07-27,91.7759246826172,-0.0034338785386056614,0.010280778054737975,-0.28940495870218663,-0.05651369759331877
2000-07-28,89.7044677734375,-0.022829429093446763,0.011305996067534014,-1.908495213118192,-0.3897219583501016
2000-07-31,90.27660369873048,0.00635775582184106,0.01126281588680329,0.5451644376175839,0.11559061020047831
2000-08-01,90.82902526855467,0.006100564474527559,0.010871527824010492,0.49386716850514245,0.10508517428549542
2000-08-02,91.28274536132812,0.00498288529065416,0.010173708626499365,0.3759691741417621,0.08073739006162932
2000-08-03,91.91402435302734,0.006891840848079589,0.01014105555726263,0.5134684313830586,0.10918192336783032
2000-08-04,92.40729522705078,0.005352305991676687,0.00951833795371544,0.40271482398564906,0.0860746191790828
2000-08-07,93.51209259033205,0.011884832244082766,0.009911193872649998,0.9594677098641673,0.20080931625666987
2000-08-08,93.86714935302734,0.0037897174089867036,0.009936237033415337,0.20758046346579698,0.04639182250767735
2000-08-09,93.07805633544922,-0.008442021297863533,0.00999684923895221,-0.9175389399793206,-0.18472974387311022
2000-08-10,92.62427520751952,-0.0048871979943525545,0.009969806487712424,-0.5461149230095171,-0.10867564165276598
2000-08-11,93.05829620361328,0.0046748791040274185,0.00974245366184448,0.44543804857591945,0.09434778536575095
2000-08-14,94.24201202392578,0.012639932004950616,0.0102263942408633,1.2910772055733362,0.26760332538940157
2000-08-15,94.1630630493164,-0.000838076991287906,0.01006832660856653,-0.12105545301453877,-0.02160963111598175
2000-08-16,93.82769012451172,-0.0035679763491556216,0.009932785977818671,-0.40834560549920124,-0.08047327348107247
2000-08-17,94.81407165527344,0.010457817093636024,0.009715407256140986,1.0432233272810034,0.216788196179861
2000-08-18,94.4984359741211,-0.00333454960343893,0.008608364900185258,-0.39025831593920624,-0.07713642851950514
2000-08-21,95.01140594482422,0.005413663146368819,0.00853251054457597,0.501912610679144,0.10564910687238599
2000-08-22,94.8535614013672,-0.0016627035732579287,0.008542864306611546,-0.25708750900430705,-0.04968599429550691
2000-08-23,95.22840118408205,0.003943985673369177,0.008173847506389323,0.3785805988861395,0.08014026686582928
2000-08-24,95.52427673339844,0.003102192743282828,0.008089069303133384,0.2832412612774988,0.0606260694180812
2000-08-25,95.48483276367188,-0.000413006169088348,0.005653861589313866,-0.09548248621231421,-0.01760684185021286
2000-08-28,95.81040954589844,0.0034039225718185406,0.005603250912538465,0.2988889324158738,0.06316072304284556
2000-08-29,95.83011627197266,0.00020566345306782807,0.005585179878276811,-0.02670521816312042,-0.0035626579426071272
2000-08-30,94.91275024414062,-0.00961895055674411,0.006189923512123259,-1.104950243853318,-0.22394254699539873
2000-08-31,96.17536926269533,0.013215237005180569,0.006603327607254927,1.3748265021828951,0.28355391722134576
2000-09-01,96.2739715576172,0.0010247091845529965,0.006567679006881612,0.011490630535728645,0.004780784401486711
2000-09-05,95.50462341308594,-0.008023338285586767,0.006506957452528291,-1.009446824632734,-0.2039489468335817
2000-09-06,94.41952514648438,-0.011426773074222574,0.007038180874425234,-1.3383187874909446,-0.27126568977297266
2000-09-07,95.22840118408205,0.008530343127739037,0.0069521727166075966,0.8747690863647785,0.18130464065180749
2000-09-08,94.57736206054688,-0.006860083335750389,0.0070554527427447835,-0.8324110379522911,-0.16779561343551
2000-09-11,94.43928527832033,-0.0014610015438449864,0.007022558039411035,-0.24912816961737555,-0.048449367283574296
2000-09-12,93.748779296875,-0.007338500258804004,0.00665135192308856,-0.8801294316623867,-0.17769973088495278
2000-09-13,93.9953842163086,0.002627033050120353,0.0066806320086970385,0.27908746768394854,0.059135199664459
2000-09-14,94.4688491821289,0.005024464890169611,0.006721296753218322,0.527097206995064,0.10994806287006312
2000-09-15,92.40208435058594,-0.022120605572718333,0.007971708715466774,-2.528784497553734,-0.514425689682466
2000-09-18,91.55162048339844,-0.009246564807463997,0.008158987760013024,-1.0297223934138313,-0.20812006475849437
2000-09-19,92.3822784423828,0.0090321970116225,0.008359974556823418,1.0650214687962156,0.2200283846321014
2000-09-20,91.69998931884766,-0.0074129057210390314,0.008467559065921563,-0.8041996909117969,-0.16200612332310244
2000-09-21,90.30562591552734,-0.01532250180335204,0.008878750284255159,-1.624950872438194,-0.3299878003040383
2000-09-22,91.94718933105467,0.018014622241281586,0.009949209976367055,2.0013809435888312,0.4122682628313172
2000-09-25,91.29450225830078,-0.007123813662089695,0.010009108247470895,-0.6764307523353612,-0.13584532482387582
2000-09-26,90.1276626586914,-0.012863430327100467,0.010185412100396838,-1.25463977798408,-0.2543040471302472
2000-09-27,90.60231018066406,0.005252572174827996,0.010331969662860416,0.6533548308555494,0.136396843157382
2000-09-28,91.7691879272461,0.012796886384834671,0.01076080049936434,1.3957454654926893,0.2887757764407645
2000-09-29,90.89895629882812,-0.009528078535068651,0.010295062177823078,-0.9237242684758286,-0.18642037430935313
2000-10-02,91.03741455078124,0.0015220516715412913,0.010305436194571851,0.22360703179589006,0.04857406305332021
2000-10-03,90.18698120117188,-0.009385486857595104,0.010346219181096997,-0.9817244252590641,-0.19793376272628127
2000-10-04,90.93852996826172,0.008298699342755178,0.010426912858333371,0.9641911515526512,0.20011565383940788
2000-10-05,91.25495147705078,0.003473470339489637,0.010220499727104029,0.40685118119962355,0.08617312132780075
2000-10-06,89.2772216796875,-0.021910874782968826,0.01110302261336726,-2.2510413343728697,-0.4578327974820482
2000-10-09,88.60472106933594,-0.007561237571280799,0.011145594166320046,-0.8136842773723746,-0.1631737960102193
2000-10-10,87.14119720458984,-0.016655381939681746,0.011516700559859582,-1.7278402859281046,-0.35044073798750397
2000-10-11,86.40941619873047,-0.008433105805387697,0.011464626971046903,-0.8046738942208098,-0.16171194365554173
2000-10-12,84.25362396240234,-0.02526507095540076,0.012160414722264166,-2.4112876521706887,-0.4912419414951589
2000-10-13,87.0620346069336,0.03278932332239748,0.01427748111228248,3.1092538935528116,0.6425286847054459
2000-10-16,87.4576416015625,0.004533674148827771,0.014291468263827972,0.5176427795101836,0.110082833455599
2000-10-17,85.28205871582031,-0.025190479379048725,0.014900604169914724,-2.0772795058374016,-0.42358095960603026
2000-10-18,84.96560668945312,-0.0037175533663429405,0.014878933297983354,-0.15382795675834918,-0.028160688045446303
2000-10-19,88.16960906982422,0.03701578784234094,0.017173892630960818,3.0592862146413315,0.6355173046387251
2000-10-20,88.54537963867188,0.004252849607896181,0.016630754372351505,0.41348428573239526,0.0898125082621326
2000-10-23,88.94093322753906,0.004457292929988199,0.01664036043069015,0.4303037249756997,0.09328149958934108
2000-10-24,88.34761047363281,-0.006693325542865836,0.016471146548277315,-0.43800579811766827,-0.08600647843048338
2000-10-25,86.27093505859375,-0.023786400485629855,0.01715684309663199,-1.7302658189165785,-0.3527993110971411
2000-10-26,86.50824737548828,0.002747002998645165,0.016830880811859163,0.3428997523340806,0.07500271620969647
2000-10-27,88.14981842041016,0.01879809417439038,0.01742953734825614,1.5626452946243896,0.32715696721654997
2000-10-30,88.94093322753906,0.008934628855460147,0.01757617231125289,0.7780089220174727,0.1653419505246005
2000-10-31,90.47372436523438,0.017086992239828902,0.017917984188602874,1.3618422501503669,0.2862873414065687
2000-11-01,90.16716766357422,-0.003394104098026318,0.017828947760420433,-0.17941012052550784,-0.0322303918259886
2000-11-02,90.31551361083984,0.0016438805055969397,0.017812573386887277,0.2039243891851421,0.04695059010589307
2000-11-03,90.36493682861328,0.0005470787668055976,0.017086008475499626,0.1251486172399957,0.03042906537405183
2000-11-06,90.99786376953124,0.006979705963034988,0.0170294868918427,0.597443951239655,0.1280874892970013
2000-11-07,90.97806549072266,-0.00021759228231044148,0.01650421386789934,0.06155876067277151,0.017154220153768884
2000-11-08,88.96073150634766,-0.022423385562317932,0.01725593605063732,-1.5374038422553415,-0.3135156804170361
2000-11-09,88.62452697753906,-0.0037864058464709416,0.0161376091925849,-0.17797820359012478,-0.03264756088348496
